,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
209,California,Los Angeles County,10039107,112963
624,Illinois,Cook County,5150233,61822
2667,Texas,Harris County,4713325,66937
106,Arizona,Maricopa County,4485414,52722
227,California,San Diego County,3338330,40603
220,California,Orange County,3175692,36406
372,Florida,Miami-Dade County,2716940,30789
2623,Texas,Dallas County,2635516,38374
1884,New York,Kings County,2559903,37786
223,California,Riverside County,2470546,29482
1777,Nevada,Clark County,2266715,27048
1901,New York,Queens County,2253858,27453
3017,Washington,King County,2252782,25188
226,California,San Bernardino County,2180085,29341
2786,Texas,Tarrant County,2102515,27512
2581,Texas,Bexar County,2003554,26736
335,Florida,Broward County,1952778,21829
233,California,Santa Clara County,1927852,21713
1335,Michigan,Wayne County,1749343,22766
191,California,Alameda County,1671329,18628
1891,New York,New York County,1628706,16968
1247,Massachusetts,Middlesex County,1611699,16755
2333,Pennsylvania,Philadelphia County,1584064,20924
224,California,Sacramento County,1552058,19192
379,Florida,Palm Beach County,1496770,14947
1912,New York,Suffolk County,1476601,15129
357,Florida,Hillsborough County,1471968,17267
1863,New York,Bronx County,1418207,19674
377,Florida,Orange County,1393452,16922
1890,New York,Nassau County,1356924,14001
2103,Ohio,Franklin County,1316756,18521
2793,Texas,Travis County,1273954,15147
1364,Minnesota,Hennepin County,1265843,16008
1316,Michigan,Oakland County,1257584,13042
2096,Ohio,Cuyahoga County,1235072,14022
2284,Pennsylvania,Allegheny County,1216045,12668
2839,Utah,Salt Lake County,1160437,16530
197,California,Contra Costa County,1153526,12070
2895,Virginia,Fairfax County,1147532,13769
2015,North Carolina,Wake County,1111761,12634
1983,North Carolina,Mecklenburg County,1110356,14736
457,Georgia,Fulton County,1063937,12612
1228,Maryland,Montgomery County,1050688,12240
109,Arizona,Pima County,1047279,10891
2609,Texas,Collin County,1034730,11299
200,California,Fresno County,999101,14506
1604,Missouri,St. Louis County,994205,11089
381,Florida,Pinellas County,974996,8104
559,Hawaii,Honolulu County,974563,12013
1920,New York,Westchester County,967506,10183
760,Indiana,Marion County,964582,14203
344,Florida,Duval County,957755,13013
3137,Wisconsin,Milwaukee County,945726,12941
315,Connecticut,Fairfield County,943332,9603
2549,Tennessee,Shelby County,937166,12894
464,Georgia,Gwinnett County,936250,11368
1806,New Jersey,Bergen County,932202,9153
630,Illinois,DuPage County,922921,10158
1875,New York,Erie County,918702,9756
1229,Maryland,Prince George's County,909327,12008
3027,Washington,Pierce County,904980,11498
205,California,Kern County,900202,13144
316,Connecticut,Hartford County,891720,9126
2627,Texas,Denton County,887207,9893
228,California,San Francisco County,881549,8868
1303,Michigan,Macomb County,873972,9132
2674,Texas,Hidalgo County,868707,14054
319,Connecticut,New Haven County,854757,8512
246,California,Ventura County,846006,9161
2637,Texas,El Paso County,839238,11617
2328,Pennsylvania,Montgomery County,830915,8602
1252,Massachusetts,Worcester County,830622,8515
1216,Maryland,Baltimore County,827370,9598
