,STNAME,CTYNAME,Year,Population
3750,Illinois,Cook County,POPESTIMATE2015,5244088
609,Illinois,Cook County,CENSUS2010POP,5194675
6891,Illinois,Cook County,POPESTIMATE2019,5150233
8904,Texas,Harris County,POPESTIMATE2019,4713325
5763,Texas,Harris County,POPESTIMATE2015,4557846
6385,Arizona,Maricopa County,POPESTIMATE2019,4485414
3244,Arizona,Maricopa County,POPESTIMATE2015,4172905
2622,Texas,Harris County,CENSUS2010POP,4092459
103,Arizona,Maricopa County,CENSUS2010POP,3817117
6504,California,San Diego County,POPESTIMATE2019,3338330
3363,California,San Diego County,POPESTIMATE2015,3280850
6497,California,Orange County,POPESTIMATE2019,3175692
3356,California,Orange County,POPESTIMATE2015,3149280
222,California,San Diego County,CENSUS2010POP,3095313
215,California,Orange County,CENSUS2010POP,3010232
6643,Florida,Miami-Dade County,POPESTIMATE2019,2716940
3502,Florida,Miami-Dade County,POPESTIMATE2015,2659839
8860,Texas,Dallas County,POPESTIMATE2019,2635516
4991,New York,Kings County,POPESTIMATE2015,2608794
8132,New York,Kings County,POPESTIMATE2019,2559903
5719,Texas,Dallas County,POPESTIMATE2015,2557830
1850,New York,Kings County,CENSUS2010POP,2504700
361,Florida,Miami-Dade County,CENSUS2010POP,2496435
6500,California,Riverside County,POPESTIMATE2019,2470546
2578,Texas,Dallas County,CENSUS2010POP,2368139
3359,California,Riverside County,POPESTIMATE2015,2345816
5008,New York,Queens County,POPESTIMATE2015,2305838
8029,Nevada,Clark County,POPESTIMATE2019,2266715
8149,New York,Queens County,POPESTIMATE2019,2253858
9250,Washington,King County,POPESTIMATE2019,2252782
1867,New York,Queens County,CENSUS2010POP,2230722
218,California,Riverside County,CENSUS2010POP,2189641
6503,California,San Bernardino County,POPESTIMATE2019,2180085
6109,Washington,King County,POPESTIMATE2015,2126178
3362,California,San Bernardino County,POPESTIMATE2015,2115411
9023,Texas,Tarrant County,POPESTIMATE2019,2102515
4888,Nevada,Clark County,POPESTIMATE2015,2096717
221,California,San Bernardino County,CENSUS2010POP,2035210
8818,Texas,Bexar County,POPESTIMATE2019,2003554
5882,Texas,Tarrant County,POPESTIMATE2015,1984880
6606,Florida,Broward County,POPESTIMATE2019,1952778
1747,Nevada,Clark County,CENSUS2010POP,1951269
2968,Washington,King County,CENSUS2010POP,1931249
6510,California,Santa Clara County,POPESTIMATE2019,1927852
3369,California,Santa Clara County,POPESTIMATE2015,1916285
5677,Texas,Bexar County,POPESTIMATE2015,1894834
3465,Florida,Broward County,POPESTIMATE2015,1885040
1311,Michigan,Wayne County,CENSUS2010POP,1820584
2741,Texas,Tarrant County,CENSUS2010POP,1809034
228,California,Santa Clara County,CENSUS2010POP,1781642
4452,Michigan,Wayne County,POPESTIMATE2015,1764872
7593,Michigan,Wayne County,POPESTIMATE2019,1749343
324,Florida,Broward County,CENSUS2010POP,1748066
2536,Texas,Bexar County,CENSUS2010POP,1714773
6468,California,Alameda County,POPESTIMATE2019,1671329
4998,New York,New York County,POPESTIMATE2015,1636063
3327,California,Alameda County,POPESTIMATE2015,1634538
8139,New York,New York County,POPESTIMATE2019,1628706
7506,Massachusetts,Middlesex County,POPESTIMATE2019,1611699
1857,New York,New York County,CENSUS2010POP,1585873
4365,Massachusetts,Middlesex County,POPESTIMATE2015,1585432
8575,Pennsylvania,Philadelphia County,POPESTIMATE2019,1584064
5434,Pennsylvania,Philadelphia County,POPESTIMATE2015,1571065
6501,California,Sacramento County,POPESTIMATE2019,1552058
2293,Pennsylvania,Philadelphia County,CENSUS2010POP,1526006
186,California,Alameda County,CENSUS2010POP,1510271
1224,Massachusetts,Middlesex County,CENSUS2010POP,1503085
6650,Florida,Palm Beach County,POPESTIMATE2019,1496770
3360,California,Sacramento County,POPESTIMATE2015,1493674
1878,New York,Suffolk County,CENSUS2010POP,1493350
5019,New York,Suffolk County,POPESTIMATE2015,1491967
8160,New York,Suffolk County,POPESTIMATE2019,1476601
6628,Florida,Hillsborough County,POPESTIMATE2019,1471968
4970,New York,Bronx County,POPESTIMATE2015,1440005
3509,Florida,Palm Beach County,POPESTIMATE2015,1424256
219,California,Sacramento County,CENSUS2010POP,1418788
8111,New York,Bronx County,POPESTIMATE2019,1418207
6648,Florida,Orange County,POPESTIMATE2019,1393452
1829,New York,Bronx County,CENSUS2010POP,1385108
3487,Florida,Hillsborough County,POPESTIMATE2015,1364073
8138,New York,Nassau County,POPESTIMATE2019,1356924
4997,New York,Nassau County,POPESTIMATE2015,1354840
1856,New York,Nassau County,CENSUS2010POP,1339532
368,Florida,Palm Beach County,CENSUS2010POP,1320134
8348,Ohio,Franklin County,POPESTIMATE2019,1316756
