Program,Year,State,Data Item,Value
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",3
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",3
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",2
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",2
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",2
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",2
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",2
SURVEY,2022,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",2
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2021,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
