Program,Year,Period,State,State ANSI,Data Item,Value
SURVEY,2022,WEEK #19,VIRGINIA,51,EXCELLENT,3
SURVEY,2022,WEEK #19,VIRGINIA,51,FAIR,19
SURVEY,2022,WEEK #19,VIRGINIA,51,GOOD,67
SURVEY,2022,WEEK #19,VIRGINIA,51,POOR,10
SURVEY,2022,WEEK #19,VIRGINIA,51,VERY POOR,1
SURVEY,2022,WEEK #20,VIRGINIA,51,EXCELLENT,11
SURVEY,2022,WEEK #20,VIRGINIA,51,FAIR,13
SURVEY,2022,WEEK #20,VIRGINIA,51,GOOD,66
SURVEY,2022,WEEK #20,VIRGINIA,51,POOR,10
SURVEY,2022,WEEK #20,VIRGINIA,51,VERY POOR,0
SURVEY,2022,WEEK #21,MISSOURI,29,EXCELLENT,7
SURVEY,2022,WEEK #21,MISSOURI,29,FAIR,19
SURVEY,2022,WEEK #21,MISSOURI,29,GOOD,70
SURVEY,2022,WEEK #21,MISSOURI,29,POOR,3
SURVEY,2022,WEEK #21,MISSOURI,29,VERY POOR,1
SURVEY,2022,WEEK #21,VIRGINIA,51,EXCELLENT,13
SURVEY,2022,WEEK #21,VIRGINIA,51,FAIR,11
SURVEY,2022,WEEK #21,VIRGINIA,51,GOOD,75
SURVEY,2022,WEEK #21,VIRGINIA,51,POOR,1
SURVEY,2022,WEEK #21,VIRGINIA,51,VERY POOR,0
SURVEY,2022,WEEK #22,KANSAS,20,EXCELLENT,10
SURVEY,2022,WEEK #22,KANSAS,20,FAIR,33
SURVEY,2022,WEEK #22,KANSAS,20,GOOD,50
SURVEY,2022,WEEK #22,KANSAS,20,POOR,7
SURVEY,2022,WEEK #22,KANSAS,20,VERY POOR,0
SURVEY,2022,WEEK #22,MISSOURI,29,EXCELLENT,7
SURVEY,2022,WEEK #22,MISSOURI,29,FAIR,23
SURVEY,2022,WEEK #22,MISSOURI,29,GOOD,64
SURVEY,2022,WEEK #22,MISSOURI,29,POOR,5
SURVEY,2022,WEEK #22,MISSOURI,29,VERY POOR,1
SURVEY,2022,WEEK #22,OHIO,39,EXCELLENT,17
SURVEY,2022,WEEK #22,OHIO,39,FAIR,24
SURVEY,2022,WEEK #22,OHIO,39,GOOD,53
SURVEY,2022,WEEK #22,OHIO,39,POOR,5
SURVEY,2022,WEEK #22,OHIO,39,VERY POOR,1
SURVEY,2022,WEEK #22,VIRGINIA,51,EXCELLENT,4
SURVEY,2022,WEEK #22,VIRGINIA,51,FAIR,16
SURVEY,2022,WEEK #22,VIRGINIA,51,GOOD,79
SURVEY,2022,WEEK #22,VIRGINIA,51,POOR,1
SURVEY,2022,WEEK #22,VIRGINIA,51,VERY POOR,0
SURVEY,2022,WEEK #22,WISCONSIN,55,EXCELLENT,18
SURVEY,2022,WEEK #22,WISCONSIN,55,FAIR,15
SURVEY,2022,WEEK #22,WISCONSIN,55,GOOD,66
SURVEY,2022,WEEK #22,WISCONSIN,55,POOR,1
SURVEY,2022,WEEK #22,WISCONSIN,55,VERY POOR,0
SURVEY,2022,WEEK #23,KANSAS,20,EXCELLENT,10
SURVEY,2022,WEEK #23,KANSAS,20,FAIR,33
SURVEY,2022,WEEK #23,KANSAS,20,GOOD,48
SURVEY,2022,WEEK #23,KANSAS,20,POOR,7
SURVEY,2022,WEEK #23,KANSAS,20,VERY POOR,2
