Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,500,000",
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,94,
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,4,
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,12,
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,78,
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,440,000",
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115,
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"420,000",
SURVEY,2022,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,11,
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"3,350,000",
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,96,
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,3,
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,12,
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,81,
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,120,000",
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161,
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"150,000",
SURVEY,2022,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,11,
SURVEY,2022,YEAR,,STATE,OHIO,39,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"3,400,000",
SURVEY,2022,YEAR,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,91,
SURVEY,2022,YEAR,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,1,
SURVEY,2022,YEAR,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,10,
SURVEY,2022,YEAR,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE",TOTAL,NOT SPECIFIED,80,
SURVEY,2022,YEAR,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,180,000",
