,Year,State,Planted,Harvested,Yield Per Acre,Avg_Temp
0,2022,KANSAS,"5,500,000","4,440,000",115,55.2
1,2022,MISSOURI,"3,350,000","3,120,000",161,
2,2022,OHIO,"3,400,000","3,180,000",187,51.7
3,2022,VIRGINIA,"450,000","340,000",167,
4,2022,WISCONSIN,"3,950,000","3,030,000",180,
5,2021,KANSAS,"5,700,000","5,400,000",139,56.1
6,2021,MISSOURI,"3,600,000","3,430,000",159,
7,2021,OHIO,"3,550,000","3,340,000",193,53.2
8,2021,VIRGINIA,"510,000","360,000",160,
9,2021,WISCONSIN,"3,950,000","3,000,000",180,
10,2020,KANSAS,"6,100,000","5,720,000",134,55.6
11,2020,MISSOURI,"3,450,000","3,280,000",171,
12,2020,OHIO,"3,550,000","3,300,000",171,53
13,2020,VIRGINIA,"560,000","420,000",122,
14,2020,WISCONSIN,"3,950,000","2,930,000",173,
15,2019,KANSAS,"6,400,000","6,020,000",133,53.8
16,2019,MISSOURI,"3,200,000","2,990,000",155,
17,2019,OHIO,"2,800,000","2,570,000",164,52.4
18,2019,VIRGINIA,"540,000","380,000",144,
19,2019,WISCONSIN,"3,800,000","2,670,000",166,
20,2018,KANSAS,"5,450,000","4,980,000",129,54.6
21,2018,MISSOURI,"3,500,000","3,330,000",140,
22,2018,OHIO,"3,500,000","3,300,000",187,53.2
23,2018,VIRGINIA,"485,000","325,000",146,
24,2018,WISCONSIN,"3,900,000","3,170,000",172,
25,2017,KANSAS,"5,500,000","5,200,000",132,56.5
26,2017,MISSOURI,"3,400,000","3,250,000",170,
27,2017,OHIO,"3,400,000","3,150,000",177,53.2
28,2017,VIRGINIA,"500,000","340,000",140,
29,2017,WISCONSIN,"3,900,000","2,930,000",174,
30,2016,KANSAS,"5,100,000","4,920,000",142,57.2
31,2016,MISSOURI,"3,650,000","3,500,000",163,
32,2016,OHIO,"3,550,000","3,300,000",159,53.6
33,2016,VIRGINIA,"490,000","340,000",148,
34,2016,WISCONSIN,"4,050,000","3,220,000",178,
35,2015,KANSAS,"4,150,000","3,920,000",148,56.3
36,2015,MISSOURI,"3,250,000","3,080,000",142,
37,2015,OHIO,"3,550,000","3,260,000",153,51.6
38,2015,VIRGINIA,"450,000","300,000",161,
39,2015,WISCONSIN,"4,000,000","3,000,000",164,
40,2014,KANSAS,"4,050,000","3,800,000",149,53.7
41,2014,MISSOURI,"3,500,000","3,380,000",186,
42,2014,OHIO,"3,700,000","3,480,000",176,49.2
43,2014,VIRGINIA,"500,000","350,000",145,
44,2014,WISCONSIN,"4,000,000","3,110,000",156,
