,Year,State,Planted,Harvested,Yield Per Acre,Avg_Temp,Avg_Prec.,EXCELLENT,FAIR,GOOD,POOR,VPOOR
0,2022,KANSAS,"5,500,000","4,440,000",115,55.2,21.24,5.95,28.8,30.45,18.95,15.85
1,2022,MISSOURI,"3,350,000","3,120,000",161,55,40.3,8.047619048,25,48.80952381,11.57142857,6.571
2,2022,OHIO,"3,400,000","3,180,000",187,51.7,40.24,10.363636,28.318182,48.272727,9.5,3.54545
3,2022,VIRGINIA,"450,000","340,000",167,56.2,45.56,10.05236158,19.68421053,66.63157895,3.157894737,0.4736
4,2022,WISCONSIN,"3,950,000","3,030,000",180,42.8,32.15,21.1304,17.5652,57.2608,3.3478,0.6956
5,2021,KANSAS,"5,700,000","5,400,000",139,56.1,27.25,9.58714,24.14285714,53.6667,8.47619,3.85714
6,2021,MISSOURI,"3,600,000","3,430,000",159,56.3,44.01,8.95454545,28.68181818,53.95454545,6.7727273,1.6363636
7,2021,OHIO,"3,550,000","3,340,000",193,53.2,41.68,17.13043478,19.34782609,59,3.913043478,0.60869
8,2021,VIRGINIA,"510,000","360,000",160,57.1,40.86,8.6,27.55,53.85,7.15,2.85
9,2021,WISCONSIN,"3,950,000","3,000,000",180,45.8,29.9,25.818182,19.181818,48.7273,4.5909,1.6818
10,2020,KANSAS,"6,100,000","5,720,000",134,55.6,25.85,11.590909,29.909091,45.272727,9.090901,4.1363636
11,2020,MISSOURI,"3,450,000","3,280,000",171,55.8,46.34,9.090909,21.54545455,57.272727,4.5,1.454545
12,2020,OHIO,"3,550,000","3,300,000",171,53,42.32,6.72,36.6,44.24,9.64,2.8
13,2020,VIRGINIA,"560,000","420,000",122,57.4,61.4,1.85,31.5,44.1,14.85,7.7
14,2020,WISCONSIN,"3,950,000","2,930,000",173,44.8,34.19,31.5833,15,48.625,3.4166,1.375
15,2019,KANSAS,"6,400,000","6,020,000",133,53.8,36.03,9.34,34.26086957,42.26086957,10.47826,3.652173913
16,2019,MISSOURI,"3,200,000","2,990,000",155,55,53.82,15.22727273,38.56,32.44,19.24,5.84
17,2019,OHIO,"2,800,000","2,570,000",164,52.4,46.87,3.739130435,40.26086,32.34782609,17.5217,6.13043
18,2019,VIRGINIA,"540,000","380,000",144,57.5,46,9.77777778,26.7222222,58.94444444,3.889,0.6667
19,2019,WISCONSIN,"3,800,000","2,670,000",166,42.1,44.55,18.0769,25.6923,44.0769,8.961,3.192
20,2018,KANSAS,"5,450,000","4,980,000",129,54.6,31.85,7.8181,29.954545,42.181818,13.227273,6.81818
21,2018,MISSOURI,"3,500,000","3,330,000",140,55.2,43,3.92,32.25,34.333333,16.291,11.5833333
22,2018,OHIO,"3,500,000","3,300,000",187,53.2,50.93,23.772727,15.5909,56.863636,2.95,0.818181
23,2018,VIRGINIA,"485,000","325,000",146,56.6,63.53,8.894736842,25.5263158,58.31578947,6.210526316,1.5263
24,2018,WISCONSIN,"3,900,000","3,170,000",172,43.2,39.74,29.7826,14.3478,49.0434,4.913,1.193
25,2017,KANSAS,"5,500,000","5,200,000",132,56.5,29.03,10.56,29.43478261,47.04347,9.8695,3.086956522
26,2017,MISSOURI,"3,400,000","3,250,000",170,57.2,41.45,5.54166667,29.88461538,50.30769231,6.57,2.153846154
27,2017,OHIO,"3,400,000","3,150,000",177,53.2,45.51,12.66667,32.583333,45.708333,7.0833,1.95833
28,2017,VIRGINIA,"500,000","340,000",140,57.3,41.56,9.5,24.85,55.7,7.75,2.2
29,2017,WISCONSIN,"3,900,000","2,930,000",174,44.7,37.57,20,21.24,49.48,7.08,2.2
30,2016,KANSAS,"5,100,000","4,920,000",142,57.2,30.68,9.2692,26.84615385,57.3461,5.423076923,1.11538
31,2016,MISSOURI,"3,650,000","3,500,000",163,57.4,39.44,11.07692308,20.80769231,57.84615358,4.42,1.42
32,2016,OHIO,"3,550,000","3,300,000",159,53.6,37.39,8.6818182,32545455,45.090909,9.7727,3.9090909
33,2016,VIRGINIA,"490,000","340,000",148,57.1,45.41,11.47368421,31.21052632,48.52631579,7.31,1.473684211
34,2016,WISCONSIN,"4,050,000","3,220,000",178,46.2,39.39,37.6086,11,48.7826,2.0434,0.5652
35,2015,KANSAS,"4,150,000","3,920,000",148,56.3,32.78,8.44444,33.444444,47.37037037,8.22,2.51851
36,2015,MISSOURI,"3,250,000","3,080,000",142,55.8,55.52,15.5,32.7391,43.82,10.78,4.60869
37,2015,OHIO,"3,550,000","3,260,000",153,51.6,43.01,12.045455,30.2015,42.545455,11.681818,3.72727
38,2015,VIRGINIA,"450,000","300,000",161,56.5,49.76,19.0952381,15.9047619,62.38095238,2.09523,0.523809
39,2015,WISCONSIN,"4,000,000","3,000,000",164,44.8,35.88,24.7391,15.6086,55.5217,3.521,0.6086
40,2014,KANSAS,"4,050,000","3,800,000",149,53.7,25.43,11.291,34.166667,41.95833,8.416667,4.166667
41,2014,MISSOURI,"3,500,000","3,380,000",186,52.9,39.32,19.53,17.25,49,3.125,0.0833
42,2014,OHIO,"3,700,000","3,480,000",176,49.2,38.56,20.7391,19.39130435,55.17391304,3.65,1.043478261
43,2014,VIRGINIA,"500,000","350,000",145,54.4,43.75,12.78947368,24.05263158,56.84210526,5.8947,0.421052
44,2014,WISCONSIN,"4,000,000","3,110,000",156,40.2,37.08,22.25,18.9583,51.75,5.5,1.5416
